observation,vintage,version,value,basis
1955-Q1,2015-05-27,1,102017,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2015-05-27,2,103840,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2016-08-25,5,107263,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2017-11-23,10,109967,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2018-08-09,13,111480,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2019-11-11,19,112194,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2020-11-12,23,116532,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2021-11-11,27,122480,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2022-11-15,31,129428,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2023-11-10,35,121747,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2024-11-15,39,134886,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q1,2025-11-13,43,145457,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2015-05-27,1,102139,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2015-05-27,2,103970,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2016-08-25,5,107398,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2017-11-23,10,110087,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2018-08-09,13,111586,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2019-11-11,19,112267,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2020-11-12,23,116637,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2021-11-11,27,122587,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2022-11-15,31,129519,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2023-11-10,35,121765,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2024-11-15,39,134924,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q2,2025-11-13,43,145551,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2015-05-27,1,104238,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2015-05-27,2,106098,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2016-08-25,5,109591,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2017-11-23,10,112333,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2018-08-09,13,113890,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2019-11-11,19,114538,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2020-11-12,23,118997,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2021-11-11,27,125065,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2022-11-15,31,132043,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2023-11-10,35,124204,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2024-11-15,39,137592,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q3,2025-11-13,43,147995,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2015-05-27,1,103678,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2015-05-27,2,105524,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2016-08-25,5,109050,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2017-11-23,10,111731,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2018-08-09,13,113327,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2019-11-11,19,113938,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2020-11-12,23,118351,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2021-11-11,27,124385,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2022-11-15,31,131396,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2023-11-10,35,123527,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2024-11-15,39,136813,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1955-Q4,2025-11-13,43,147119,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2015-05-27,1,104811,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2015-05-27,2,106669,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2016-08-25,5,110201,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2017-11-23,10,112952,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2018-08-09,13,114540,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2019-11-11,19,115274,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2020-11-12,23,119735,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2021-11-11,27,125815,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2022-11-15,31,132998,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2023-11-10,35,124881,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2024-11-15,39,138343,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q1,2025-11-13,43,148955,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q2,2015-05-27,1,104591,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
