observation,vintage,version,value,basis
1988-01,2015-10-12,1,61.9,CPI All Items Index: Estimated pre-97 2005=100
1988-01,2016-01-19,4,48.4,CPI All Items Index: Estimated pre-97 2005=100
1988-02,2015-10-12,1,62.1,CPI All Items Index: Estimated pre-97 2005=100
1988-02,2016-01-19,4,48.5,CPI All Items Index: Estimated pre-97 2005=100
1988-02,2018-12-19,39,48.6,CPI INDEX 00: ALL ITEMS 2015=100
1988-03,2015-10-12,1,62.3,CPI All Items Index: Estimated pre-97 2005=100
1988-03,2016-01-19,4,48.7,CPI All Items Index: Estimated pre-97 2005=100
1988-04,2015-10-12,1,63.1,CPI All Items Index: Estimated pre-97 2005=100
1988-04,2016-01-19,4,49.3,CPI All Items Index: Estimated pre-97 2005=100
1988-05,2015-10-12,1,63.4,CPI All Items Index: Estimated pre-97 2005=100
1988-05,2016-01-19,4,49.5,CPI All Items Index: Estimated pre-97 2005=100
1988-06,2015-10-12,1,63.6,CPI All Items Index: Estimated pre-97 2005=100
1988-06,2016-01-19,4,49.7,CPI All Items Index: Estimated pre-97 2005=100
1988-07,2015-10-12,1,63.6,CPI All Items Index: Estimated pre-97 2005=100
1988-07,2016-01-19,4,49.7,CPI All Items Index: Estimated pre-97 2005=100
1988-08,2015-10-12,1,63.8,CPI All Items Index: Estimated pre-97 2005=100
1988-08,2016-01-19,4,49.9,CPI All Items Index: Estimated pre-97 2005=100
1988-09,2015-10-12,1,64.1,CPI All Items Index: Estimated pre-97 2005=100
1988-09,2016-01-19,4,50.1,CPI All Items Index: Estimated pre-97 2005=100
1988-10,2015-10-12,1,64.4,CPI All Items Index: Estimated pre-97 2005=100
1988-10,2016-01-19,4,50.3,CPI All Items Index: Estimated pre-97 2005=100
1988-11,2015-10-12,1,64.7,CPI All Items Index: Estimated pre-97 2005=100
1988-11,2016-01-19,4,50.5,CPI All Items Index: Estimated pre-97 2005=100
1988-12,2015-10-12,1,64.8,CPI All Items Index: Estimated pre-97 2005=100
1988-12,2016-01-19,4,50.6,CPI All Items Index: Estimated pre-97 2005=100
1989-01,2015-10-12,1,65.0,CPI All Items Index: Estimated pre-97 2005=100
1989-01,2016-01-19,4,50.7,CPI All Items Index: Estimated pre-97 2005=100
1989-01,2018-12-19,39,50.8,CPI INDEX 00: ALL ITEMS 2015=100
1989-02,2015-10-12,1,65.2,CPI All Items Index: Estimated pre-97 2005=100
1989-02,2016-01-19,4,50.9,CPI All Items Index: Estimated pre-97 2005=100
1989-02,2018-12-19,39,51.0,CPI INDEX 00: ALL ITEMS 2015=100
1989-03,2015-10-12,1,65.5,CPI All Items Index: Estimated pre-97 2005=100
1989-03,2016-01-19,4,51.1,CPI All Items Index: Estimated pre-97 2005=100
1989-03,2018-12-19,39,51.2,CPI INDEX 00: ALL ITEMS 2015=100
1989-04,2015-10-12,1,66.4,CPI All Items Index: Estimated pre-97 2005=100
1989-04,2016-01-19,4,51.8,CPI All Items Index: Estimated pre-97 2005=100
1989-04,2018-12-19,39,51.9,CPI INDEX 00: ALL ITEMS 2015=100
1989-05,2015-10-12,1,66.7,CPI All Items Index: Estimated pre-97 2005=100
1989-05,2016-01-19,4,52.1,CPI All Items Index: Estimated pre-97 2005=100
1989-05,2018-12-19,39,52.2,CPI INDEX 00: ALL ITEMS 2015=100
1989-06,2015-10-12,1,67.0,CPI All Items Index: Estimated pre-97 2005=100
1989-06,2016-01-19,4,52.3,CPI All Items Index: Estimated pre-97 2005=100
1989-07,2015-10-12,1,66.9,CPI All Items Index: Estimated pre-97 2005=100
1989-07,2016-01-19,4,52.3,CPI All Items Index: Estimated pre-97 2005=100
1989-08,2015-10-12,1,67.0,CPI All Items Index: Estimated pre-97 2005=100
1989-08,2016-01-19,4,52.3,CPI All Items Index: Estimated pre-97 2005=100
1989-08,2018-12-19,39,52.4,CPI INDEX 00: ALL ITEMS 2015=100
1989-09,2015-10-12,1,67.5,CPI All Items Index: Estimated pre-97 2005=100
1989-09,2016-01-19,4,52.7,CPI All Items Index: Estimated pre-97 2005=100
1989-10,2015-10-12,1,68.0,CPI All Items Index: Estimated pre-97 2005=100
1989-10,2016-01-19,4,53.1,CPI All Items Index: Estimated pre-97 2005=100
1989-11,2015-10-12,1,68.2,CPI All Items Index: Estimated pre-97 2005=100
1989-11,2016-01-19,4,53.3,CPI All Items Index: Estimated pre-97 2005=100
1989-12,2015-10-12,1,68.3,CPI All Items Index: Estimated pre-97 2005=100
1989-12,2016-01-19,4,53.4,CPI All Items Index: Estimated pre-97 2005=100
1990-01,2015-10-12,1,68.6,CPI All Items Index: Estimated pre-97 2005=100
1990-01,2016-01-19,4,53.6,CPI All Items Index: Estimated pre-97 2005=100
1990-02,2015-10-12,1,69.0,CPI All Items Index: Estimated pre-97 2005=100
1990-02,2016-01-19,4,53.9,CPI All Items Index: Estimated pre-97 2005=100
1990-02,2018-12-19,39,54.0,CPI INDEX 00: ALL ITEMS 2015=100
1990-03,2015-10-12,1,69.4,CPI All Items Index: Estimated pre-97 2005=100
1990-03,2016-01-19,4,54.2,CPI All Items Index: Estimated pre-97 2005=100
1990-04,2015-10-12,1,70.6,CPI All Items Index: Estimated pre-97 2005=100
1990-04,2016-01-19,4,55.2,CPI All Items Index: Estimated pre-97 2005=100
1990-05,2015-10-12,1,71.3,CPI All Items Index: Estimated pre-97 2005=100
1990-05,2016-01-19,4,55.7,CPI All Items Index: Estimated pre-97 2005=100
1990-06,2015-10-12,1,71.6,CPI All Items Index: Estimated pre-97 2005=100
1990-06,2016-01-19,4,55.9,CPI All Items Index: Estimated pre-97 2005=100
1990-07,2015-10-12,1,71.4,CPI All Items Index: Estimated pre-97 2005=100
1990-07,2016-01-19,4,55.8,CPI All Items Index: Estimated pre-97 2005=100
1990-08,2015-10-12,1,72.2,CPI All Items Index: Estimated pre-97 2005=100
1990-08,2016-01-19,4,56.4,CPI All Items Index: Estimated pre-97 2005=100
1990-09,2015-10-12,1,72.9,CPI All Items Index: Estimated pre-97 2005=100
1990-09,2016-01-19,4,57.0,CPI All Items Index: Estimated pre-97 2005=100
1990-10,2015-10-12,1,73.5,CPI All Items Index: Estimated pre-97 2005=100
1990-10,2016-01-19,4,57.4,CPI All Items Index: Estimated pre-97 2005=100
1990-11,2015-10-12,1,73.6,CPI All Items Index: Estimated pre-97 2005=100
1990-11,2016-01-19,4,57.5,CPI All Items Index: Estimated pre-97 2005=100
1990-12,2015-10-12,1,73.5,CPI All Items Index: Estimated pre-97 2005=100
