observation,vintage,version,value,basis
1955 Q2,2015-05-27,1,0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q2,2023-11-10,35,0.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q2,2025-11-13,43,0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2015-05-27,1,2.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2015-05-27,2,2.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2018-08-09,13,2.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2019-11-11,19,2.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2022-11-15,31,1.9,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2023-11-10,35,2.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q3,2025-11-13,43,1.7,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q4,2015-05-27,1,-0.5,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1955 Q4,2024-11-15,39,-0.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2015-05-27,1,1.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2019-11-11,19,1.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2021-11-11,27,1.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2022-11-15,31,1.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2023-11-10,35,1.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q1,2025-11-13,43,1.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2015-05-27,1,-0.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2016-08-25,5,-0.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2017-11-23,10,-0.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2018-08-09,13,-0.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2019-11-11,19,-0.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q2,2023-11-10,35,-0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q3,2015-05-27,1,-0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q4,2015-05-27,1,0.4,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q4,2019-11-11,19,0.5,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q4,2020-11-12,23,0.4,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q4,2022-11-15,31,0.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1956 Q4,2023-11-10,35,0.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q1,2015-05-27,1,2.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q1,2022-11-15,31,2.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q1,2023-11-10,35,1.9,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q1,2025-11-13,43,1.8,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q2,2015-05-27,1,0.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q2,2015-05-27,2,-0.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q2,2016-08-25,5,0.0,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q3,2015-05-27,1,-0.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q4,2015-05-27,1,0.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q4,2022-11-15,31,0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1957 Q4,2023-11-10,35,0.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q1,2015-05-27,1,2.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q1,2019-11-11,19,2.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q1,2025-11-13,43,2.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2015-05-27,1,-2.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2019-11-11,19,-2.4,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2020-11-12,23,-2.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2021-11-11,27,-2.4,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2022-11-15,31,-2.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q2,2023-11-10,35,-2.5,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q3,2015-05-27,1,2.2,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q4,2015-05-27,1,0.1,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1958 Q4,2023-11-10,35,0.3,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q1,2015-05-27,1,0.5,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q1,2019-11-11,19,0.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q1,2021-11-11,27,0.7,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q1,2022-11-15,31,0.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q2,2015-05-27,1,1.6,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
1959 Q2,2015-05-27,2,1.7,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
