observation,vintage,version,value,basis
1971 APR,2015-10-13,1,4.0,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 AUG,2015-10-13,1,4.2,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 DEC,2015-10-13,1,4.5,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 FEB,2015-10-13,1,3.8,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 JUL,2015-10-13,1,4.2,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 JUN,2015-10-13,1,4.1,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 MAR,2015-10-13,1,3.9,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 MAY,2015-10-13,1,4.1,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 NOV,2015-10-13,1,4.4,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 OCT,2015-10-13,1,4.4,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1971 SEP,2015-10-13,1,4.3,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 APR,2015-10-13,1,4.5,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 AUG,2015-10-13,1,4.3,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 DEC,2015-10-13,1,4.1,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 FEB,2015-10-13,1,4.5,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 JAN,2015-10-13,1,4.5,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 JUL,2015-10-13,1,4.3,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 JUN,2015-10-13,1,4.4,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 MAR,2015-10-13,1,4.5,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 MAY,2015-10-13,1,4.4,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 NOV,2015-10-13,1,4.2,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 OCT,2015-10-13,1,4.2,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1972 SEP,2015-10-13,1,4.2,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 APR,2015-10-13,1,3.8,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 AUG,2015-10-13,1,3.6,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 DEC,2015-10-13,1,3.4,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 FEB,2015-10-13,1,3.9,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 JAN,2015-10-13,1,4.0,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 JUL,2015-10-13,1,3.6,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
1973 JUN,2015-10-13,1,3.7,LFS: Unemployment rate: UK: All: Aged 16 and over: %: SA
