observation,vintage,value
2015-Q1,2019-01,17970.4
2015-Q1,2019-08,17984.2
2015-Q1,2020-08,18003.4
2015-Q1,2021-08,17991.3
2015-Q1,2023-10,18063.5
2015-Q2,2019-01,18221.3
2015-Q2,2019-08,18219.4
2015-Q2,2020-08,18223.6
2015-Q2,2021-08,18193.7
2015-Q2,2023-10,18279.8
2015-Q3,2019-01,18331.1
2015-Q3,2019-08,18344.7
2015-Q3,2020-08,18347.4
2015-Q3,2021-08,18307.0
2015-Q3,2023-10,18401.6
2015-Q4,2019-01,18354.4
2015-Q4,2019-08,18350.8
2015-Q4,2020-08,18378.8
2015-Q4,2021-08,18332.1
2015-Q4,2023-10,18435.1
2016-Q1,2019-01,18409.1
2016-Q1,2019-08,18424.3
2016-Q1,2020-08,18470.2
2016-Q1,2021-08,18425.3
2016-Q1,2023-10,18525.9
2016-Q2,2019-01,18640.7
2016-Q2,2019-08,18637.3
2016-Q2,2020-08,18656.2
2016-Q2,2021-08,18611.6
2016-Q2,2023-10,18711.7
2016-Q3,2019-01,18799.6
2016-Q3,2019-08,18806.7
2016-Q3,2020-08,18821.4
2016-Q3,2021-08,18775.5
2016-Q3,2023-10,18892.6
2016-Q4,2019-01,18979.2
2016-Q4,2019-08,18991.9
2016-Q4,2020-08,19032.6
2016-Q4,2021-08,18968.0
2016-Q4,2023-10,19089.4
2017-Q1,2019-01,19162.6
2017-Q1,2019-08,19190.4
2017-Q1,2020-08,19237.4
2017-Q1,2021-08,19153.9
2017-Q1,2022-10,19148.2
2017-Q1,2023-10,19280.1
2017-Q2,2019-01,19359.1
2017-Q2,2019-08,19356.6
2017-Q2,2020-08,19379.2
2017-Q2,2021-08,19322.9
2017-Q2,2022-10,19304.5
2017-Q2,2023-10,19438.6
2017-Q3,2019-01,19588.1
2017-Q3,2019-08,19611.7
2017-Q3,2020-08,19617.3
2017-Q3,2021-08,19558.7
2017-Q3,2022-10,19561.9
2017-Q3,2023-10,19692.6
2017-Q4,2019-01,19831.8
2017-Q4,2019-08,19918.9
2017-Q4,2020-08,19938.0
2017-Q4,2021-08,19883.0
2017-Q4,2022-10,19894.8
2017-Q4,2023-10,20037.1
2018-Q1,2019-01,20041.0
2018-Q1,2019-08,20163.2
2018-Q1,2020-08,20242.2
2018-Q1,2021-08,20143.7
2018-Q1,2022-10,20155.5
2018-Q1,2023-10,20328.6
2018-Q2,2019-01,20411.9
2018-Q2,2019-08,20510.2
2018-Q2,2020-08,20552.7
2018-Q2,2021-08,20492.5
2018-Q2,2022-10,20470.2
2018-Q2,2023-10,20580.9
2018-Q3,2019-01,20658.2
2018-Q3,2019-08,20749.8
2018-Q3,2020-08,20742.7
2018-Q3,2021-08,20659.1
2018-Q3,2022-10,20687.3
2018-Q3,2023-10,20798.7
2018-Q4,2019-02,20891.4
2018-Q4,2019-04,20865.1
2018-Q4,2019-08,20897.8
2018-Q4,2020-08,20909.9
2018-Q4,2021-08,20813.3
2018-Q4,2022-10,20819.3
2018-Q4,2023-10,20917.9
2019-Q1,2019-05,21062.7
2019-Q1,2019-06,21048.8
2019-Q1,2019-07,21060.1
2019-Q1,2019-08,21098.8
2019-Q1,2020-08,21115.3
2019-Q1,2021-08,21001.6
2019-Q1,2022-10,21013.1
2019-Q1,2023-10,21104.1
2019-Q1,2024-10,21111.6
2019-Q2,2019-08,21337.9
2019-Q2,2019-09,21339.1
2019-Q2,2019-10,21340.3
2019-Q2,2020-08,21329.9
2019-Q2,2021-08,21289.3
2019-Q2,2022-10,21272.4
2019-Q2,2023-10,21384.8
2019-Q2,2024-10,21397.9
2019-Q3,2019-11,21525.8
2019-Q3,2019-12,21542.1
2019-Q3,2020-01,21542.5
2019-Q3,2020-08,21540.3
2019-Q3,2021-08,21505.0
2019-Q3,2022-10,21531.8
2019-Q3,2023-10,21694.3
2019-Q3,2024-10,21717.2
2019-Q4,2020-02,21734.3
2019-Q4,2020-03,21726.8
