observation,vintage,value
2015-Q1,2019-01,104.127
2015-Q1,2019-08,104.072
2015-Q1,2020-08,104.054
2015-Q1,2021-08,104.092
2015-Q1,2023-10,96.742
2015-Q2,2019-01,104.745
2015-Q2,2019-08,104.684
2015-Q2,2020-08,104.647
2015-Q2,2021-08,104.683
2015-Q2,2023-10,97.302
2015-Q3,2019-01,105.06
2015-Q3,2019-08,105.0
2015-Q3,2020-08,104.92
2015-Q3,2021-08,104.939
2015-Q3,2023-10,97.536
2015-Q4,2019-01,105.097
2015-Q4,2019-08,104.997
2015-Q4,2020-08,104.935
2015-Q4,2021-08,104.932
2015-Q4,2023-10,97.527
2016-Q1,2019-01,105.043
2016-Q1,2019-08,104.933
2016-Q1,2020-08,104.902
2016-Q1,2021-08,104.873
2016-Q1,2023-10,97.468
2016-Q2,2019-01,105.738
2016-Q2,2019-08,105.618
2016-Q2,2020-08,105.595
2016-Q2,2021-08,105.576
2016-Q2,2023-10,98.108
2016-Q3,2019-01,106.11
2016-Q3,2019-08,105.987
2016-Q3,2020-08,105.941
2016-Q3,2021-08,105.894
2016-Q3,2023-10,98.372
2016-Q4,2019-01,106.703
2016-Q4,2019-08,106.543
2016-Q4,2020-08,106.506
2016-Q4,2021-08,106.47
2016-Q4,2023-10,98.884
2017-Q1,2019-01,107.233
2017-Q1,2019-08,107.04
2017-Q1,2020-08,107.031
2017-Q1,2021-08,107.007
2017-Q1,2022-10,107.022
2017-Q1,2023-10,99.389
2017-Q2,2019-01,107.553
2017-Q2,2019-08,107.394
2017-Q2,2020-08,107.368
2017-Q2,2021-08,107.361
2017-Q2,2022-10,107.363
2017-Q2,2023-10,99.656
2017-Q3,2019-01,108.134
2017-Q3,2019-08,108.032
2017-Q3,2020-08,107.968
2017-Q3,2021-08,107.942
2017-Q3,2022-10,107.948
2017-Q3,2023-10,100.174
2017-Q4,2019-01,108.807
2017-Q4,2019-08,108.715
2017-Q4,2020-08,108.637
2017-Q4,2021-08,108.658
2017-Q4,2022-10,108.639
2017-Q4,2023-10,100.78
2018-Q1,2019-01,109.348
2018-Q1,2019-08,109.341
2018-Q1,2020-08,109.292
2018-Q1,2021-08,109.312
2018-Q1,2022-10,109.365
2018-Q1,2023-10,101.428
2018-Q2,2019-01,110.172
2018-Q2,2019-08,110.209
2018-Q2,2020-08,110.165
2018-Q2,2021-08,110.156
2018-Q2,2022-10,110.176
2018-Q2,2023-10,102.14
2018-Q3,2019-01,110.669
2018-Q3,2019-08,110.765
2018-Q3,2020-08,110.671
2018-Q3,2021-08,110.647
2018-Q3,2022-10,110.68
2018-Q3,2023-10,102.586
2018-Q4,2019-02,111.161
2018-Q4,2019-04,111.134
2018-Q4,2019-08,111.212
2018-Q4,2020-08,111.159
2018-Q4,2021-08,111.191
2018-Q4,2022-10,111.155
2018-Q4,2023-10,103.005
2019-Q1,2019-05,111.377
2019-Q1,2019-06,111.345
2019-Q1,2019-07,111.384
2019-Q1,2019-08,111.504
2019-Q1,2020-08,111.497
2019-Q1,2021-08,111.502
2019-Q1,2022-10,111.56
2019-Q1,2023-10,103.375
2019-Q1,2024-10,103.332
2019-Q2,2019-08,112.158
2019-Q2,2019-09,112.159
2019-Q2,2019-10,112.173
2019-Q2,2020-08,112.181
2019-Q2,2021-08,112.142
2019-Q2,2022-10,112.184
2019-Q2,2023-10,103.878
2019-Q2,2024-10,103.855
2019-Q3,2019-11,112.635
2019-Q3,2019-12,112.674
2019-Q3,2020-01,112.679
2019-Q3,2020-08,112.602
2019-Q3,2021-08,112.524
2019-Q3,2022-10,112.558
2019-Q3,2023-10,104.213
2019-Q3,2024-10,104.196
2019-Q4,2020-02,113.076
2019-Q4,2020-03,113.033
2019-Q4,2020-04,113.036
2019-Q4,2020-08,112.989
2019-Q4,2021-08,112.947
2019-Q4,2022-10,112.91
2019-Q4,2023-10,104.566
2019-Q4,2024-10,104.543
2020-Q1,2020-05,113.404
2020-Q1,2020-06,113.422
2020-Q1,2020-07,113.43
2020-Q1,2020-08,113.38
2020-Q1,2021-08,113.397
2020-Q1,2022-10,113.427
2020-Q1,2023-10,105.042
2020-Q1,2024-10,105.001
2020-Q1,2025-10,105.035
2020-Q2,2020-08,112.858
2020-Q2,2020-09,112.808
2020-Q2,2020-10,112.86
2020-Q2,2021-08,112.969
2020-Q2,2022-10,113.053
2020-Q2,2023-10,104.661
2020-Q2,2024-10,104.651
2020-Q2,2025-10,104.66
2020-Q3,2020-11,113.86
2020-Q3,2020-12,113.85
2020-Q3,2021-01,113.838
2020-Q3,2021-08,113.984
2020-Q3,2022-10,114.032
2020-Q3,2023-10,105.593
2020-Q3,2024-10,105.574
2020-Q3,2025-10,105.619
2020-Q4,2021-02,114.415
2020-Q4,2021-03,114.441
2020-Q4,2021-04,114.415
2020-Q4,2021-08,114.611
2020-Q4,2022-10,114.744
2020-Q4,2023-10,106.33
2020-Q4,2024-10,106.293
2020-Q4,2025-10,106.278
2021-Q1,2021-05,115.561
2021-Q1,2021-06,115.613
2021-Q1,2021-07,115.63
2021-Q1,2021-08,115.826
2021-Q1,2022-10,116.199
2021-Q1,2023-10,107.731
2021-Q1,2024-10,107.645
2021-Q1,2025-10,107.629
2021-Q2,2021-08,117.519
2021-Q2,2021-09,117.547
2021-Q2,2021-10,117.546
2021-Q2,2022-10,117.974
2021-Q2,2023-10,109.332
2021-Q2,2024-10,109.278
2021-Q2,2025-10,109.276
2021-Q3,2021-11,119.19
2021-Q3,2021-12,119.237
2021-Q3,2022-01,119.259
2021-Q3,2022-10,119.763
2021-Q3,2023-10,110.957
2021-Q3,2024-10,110.931
2021-Q3,2025-10,110.966
2021-Q4,2022-02,121.277
2021-Q4,2022-03,121.329
2021-Q4,2022-04,121.331
2021-Q4,2022-10,121.758
2021-Q4,2023-10,112.858
2021-Q4,2024-10,112.836
2021-Q4,2025-10,112.862
2022-Q1,2022-05,123.677
2022-Q1,2022-06,123.705
2022-Q1,2022-07,123.745
2022-Q1,2022-10,124.209
2022-Q1,2023-10,115.182
2022-Q1,2024-10,115.16
2022-Q1,2025-10,115.162
2022-Q2,2022-08,126.367
2022-Q2,2022-09,126.413
2022-Q2,2022-10,126.914
2022-Q2,2023-10,117.704
2022-Q2,2024-10,117.76
2022-Q3,2022-11,128.188
2022-Q3,2022-12,128.248
2022-Q3,2023-01,128.276
2022-Q3,2023-10,118.98
2022-Q3,2024-10,119.073
2022-Q3,2025-10,119.042
2022-Q4,2023-02,129.374
2022-Q4,2023-03,129.502
2022-Q4,2023-10,120.115
2022-Q4,2024-10,120.173
2022-Q4,2025-10,120.175
2023-Q1,2023-05,130.793
2023-Q1,2023-06,130.832
2023-Q1,2023-07,130.822
2023-Q1,2023-10,121.264
2023-Q1,2024-10,121.247
2023-Q1,2025-10,121.291
2023-Q2,2023-08,131.532
2023-Q2,2023-09,131.464
2023-Q2,2023-10,121.789
2023-Q2,2024-10,121.809
2023-Q2,2025-10,121.933
2023-Q3,2023-11,122.846
2023-Q3,2023-12,122.857
2023-Q3,2024-01,122.792
2023-Q3,2024-10,122.785
2023-Q3,2025-10,122.923
2023-Q4,2024-02,123.244
2023-Q4,2024-03,123.288
2023-Q4,2024-04,123.289
2023-Q4,2024-10,123.247
2023-Q4,2025-10,123.409
2024-Q1,2024-05,124.24
2024-Q1,2024-06,124.218
2024-Q1,2024-07,124.227
2024-Q1,2024-10,124.168
2024-Q1,2025-10,124.366
2024-Q2,2024-08,124.93
2024-Q2,2024-09,124.993
2024-Q2,2024-10,124.942
2024-Q2,2025-10,125.167
2024-Q3,2024-11,125.511
2024-Q3,2024-12,125.528
2024-Q3,2025-01,125.543
2024-Q3,2025-10,125.715
2024-Q4,2025-02,126.229
2024-Q4,2025-03,126.285
2024-Q4,2025-04,126.27
2024-Q4,2025-10,126.474
2025-Q1,2025-05,127.435
2025-Q1,2025-06,127.421
2025-Q1,2025-07,127.441
2025-Q1,2025-10,127.597
2025-Q2,2025-08,128.067
2025-Q2,2025-09,128.063
2025-Q2,2025-10,128.266
2025-Q3,2026-01,129.455
2025-Q3,2026-02,129.457
2025-Q4,2026-03,130.61
2025-Q4,2026-04,130.664
2025-Q4,2026-05,130.636
2026-Q1,2026-05,131.795
2026-Q1,2026-06,131.755
2026-Q1,2026-07,131.797
2026-Q2,2026-08,133.809
