observation,vintage,value
2015-01,2019-01,234.836
2015-01,2019-02,234.718
2015-01,2020-02,234.747
2015-02,2019-01,235.274
2015-02,2019-02,235.236
2015-02,2020-02,235.342
2015-03,2019-01,235.956
2015-03,2019-02,236.005
2015-03,2020-02,235.976
2015-04,2019-01,236.165
2015-04,2019-02,236.156
2015-04,2020-02,236.222
2015-05,2019-01,236.952
2015-05,2019-02,236.974
2015-05,2020-02,237.001
2015-06,2019-01,237.618
2015-06,2019-02,237.684
2015-06,2020-02,237.657
2015-07,2019-01,237.993
2015-07,2019-02,238.053
2015-07,2020-02,238.034
2015-08,2019-01,237.989
2015-08,2019-02,238.028
2015-08,2020-02,238.033
2015-09,2019-01,237.467
2015-09,2019-02,237.506
2015-09,2020-02,237.498
2015-10,2019-01,237.764
2015-10,2019-02,237.781
2015-10,2020-02,237.733
2015-11,2019-01,238.072
2015-11,2019-02,238.016
2015-11,2020-02,238.017
2015-12,2019-01,237.827
2015-12,2019-02,237.817
2015-12,2020-02,237.761
2016-01,2019-01,237.99
2016-01,2019-02,237.833
2016-01,2020-02,237.827
2016-01,2021-02,237.652
2016-02,2019-01,237.532
2016-02,2019-02,237.469
2016-02,2020-02,237.514
2016-02,2021-02,237.336
2016-03,2019-01,238.022
2016-03,2019-02,238.038
2016-03,2020-02,237.99
2016-03,2021-02,238.08
2016-04,2019-01,238.843
2016-04,2019-02,238.827
2016-04,2020-02,238.835
2016-04,2021-02,238.992
2016-05,2019-01,239.439
2016-05,2019-02,239.464
2016-05,2020-02,239.44
2016-05,2021-02,239.557
2016-06,2019-01,240.074
2016-06,2019-02,240.167
2016-06,2020-02,240.144
2016-06,2021-02,240.222
2016-07,2019-01,240.058
2016-07,2019-02,240.15
2016-07,2020-02,240.111
2016-07,2021-02,240.101
2016-08,2019-01,240.569
2016-08,2019-02,240.602
2016-08,2020-02,240.595
2016-08,2021-02,240.545
2016-09,2019-01,241.017
2016-09,2019-02,241.051
2016-09,2020-02,241.068
2016-09,2021-02,241.176
2016-10,2019-01,241.667
2016-10,2019-02,241.691
2016-10,2020-02,241.641
2016-10,2021-02,241.741
2016-11,2019-01,242.081
2016-11,2019-02,242.029
2016-11,2020-02,241.993
2016-11,2021-02,242.026
2016-12,2019-01,242.784
2016-12,2019-02,242.772
2016-12,2020-02,242.712
2016-12,2021-02,242.637
2017-01,2019-01,244.028
2017-01,2019-02,243.78
2017-01,2020-02,243.717
2017-01,2021-02,243.62
2017-01,2022-02,243.618
2017-02,2019-01,244.102
2017-02,2019-02,243.961
2017-02,2020-02,244.028
2017-02,2021-02,243.872
2017-02,2022-02,244.006
2017-03,2019-01,243.717
2017-03,2019-02,243.749
2017-03,2020-02,243.721
