observation,vintage,value
2015-Q1,2019-01,17254.7
2015-Q1,2019-08,17277.6
2015-Q1,2020-08,17305.8
2015-Q1,2021-08,17280.6
2015-Q1,2023-10,18666.6
2015-Q2,2019-01,17397.0
2015-Q2,2019-08,17405.7
2015-Q2,2020-08,17422.8
2015-Q2,2021-08,17380.9
2015-Q2,2023-10,18782.2
2015-Q3,2019-01,17438.8
2015-Q3,2019-08,17463.2
2015-Q3,2020-08,17486.0
2015-Q3,2021-08,17437.1
2015-Q3,2023-10,18857.4
2015-Q4,2019-01,17456.2
2015-Q4,2019-08,17468.9
2015-Q4,2020-08,17514.1
2015-Q4,2021-08,17462.6
2015-Q4,2023-10,18892.2
2016-Q1,2019-01,17523.4
2016-Q1,2019-08,17556.8
2016-Q1,2020-08,17613.3
2016-Q1,2021-08,17565.5
2016-Q1,2023-10,19001.7
2016-Q2,2019-01,17622.5
2016-Q2,2019-08,17639.4
2016-Q2,2020-08,17668.2
2016-Q2,2021-08,17618.6
2016-Q2,2023-10,19062.7
2016-Q3,2019-01,17706.7
2016-Q3,2019-08,17735.1
2016-Q3,2020-08,17764.4
2016-Q3,2021-08,17724.5
2016-Q3,2023-10,19197.9
2016-Q4,2019-01,17784.2
2016-Q4,2019-08,17824.2
2016-Q4,2020-08,17876.2
2016-Q4,2021-08,17812.6
2016-Q4,2023-10,19304.4
2017-Q1,2019-01,17863.0
2017-Q1,2019-08,17925.3
2017-Q1,2020-08,17977.3
2017-Q1,2021-08,17896.6
2017-Q1,2022-10,17889.1
2017-Q1,2023-10,19398.3
2017-Q2,2019-01,17995.2
2017-Q2,2019-08,18021.0
2017-Q2,2020-08,18054.1
2017-Q2,2021-08,17996.8
2017-Q2,2022-10,17979.2
2017-Q2,2023-10,19506.9
2017-Q3,2019-01,18120.8
2017-Q3,2019-08,18163.6
2017-Q3,2020-08,18185.6
2017-Q3,2021-08,18126.2
2017-Q3,2022-10,18128.0
2017-Q3,2023-10,19660.8
2017-Q4,2019-01,18223.8
2017-Q4,2019-08,18322.5
2017-Q4,2020-08,18359.4
2017-Q4,2021-08,18296.7
2017-Q4,2022-10,18310.3
2017-Q4,2023-10,19882.4
2018-Q1,2019-01,18324.0
2018-Q1,2019-08,18438.3
2018-Q1,2020-08,18530.5
2018-Q1,2021-08,18436.3
2018-Q1,2022-10,18437.1
2018-Q1,2023-10,20044.1
2018-Q2,2019-01,18511.6
2018-Q2,2019-08,18598.1
2018-Q2,2020-08,18654.4
2018-Q2,2021-08,18590.0
2018-Q2,2022-10,18565.7
2018-Q2,2023-10,20150.5
2018-Q3,2019-01,18665.0
2018-Q3,2019-08,18732.7
2018-Q3,2020-08,18752.4
2018-Q3,2021-08,18679.6
2018-Q3,2022-10,18699.7
2018-Q3,2023-10,20276.2
2018-Q4,2019-02,18784.6
2018-Q4,2019-04,18765.3
2018-Q4,2019-08,18783.5
2018-Q4,2020-08,18813.9
2018-Q4,2021-08,18721.3
2018-Q4,2022-10,18733.7
2018-Q4,2023-10,20304.9
2019-Q1,2019-05,18912.3
