observation,first,second,third
2015-Q1,0.2482,-0.7491,-0.1717
2015-Q2,2.3219,3.6846,3.921
2015-Q3,1.4923,2.078,1.9835
2015-Q4,0.6914,1.0054,1.3865
2016-Q1,0.5378,0.8405,1.0729
2016-Q2,1.2182,1.0986,1.4138
2016-Q3,2.9014,3.158,3.5164
2016-Q4,1.8735,1.8565,2.0798
2017-Q1,0.6941,1.1541,1.4231
2017-Q2,2.5683,3.0345,3.0612
2017-Q3,2.9875,3.2952,3.1557
2017-Q4,2.555,2.536,2.8879
2018-Q1,2.3176,2.1741,1.9908
2018-Q2,4.0595,4.226,4.1585
2018-Q3,3.5002,3.5046,3.3561
2019-Q1,3.1705,3.0658,3.1268
2019-Q2,2.055,2.0379,2.0143
2019-Q3,1.9188,2.1238,2.1024
2019-Q4,2.0808,2.0956,2.1275
2020-Q1,-4.7832,-5.0477,-4.9937
2020-Q2,-32.9038,-31.7041,-31.3827
2020-Q3,33.0826,33.0683,33.441
2020-Q4,4.0124,4.0922,4.3251
2021-Q1,6.3877,6.3989,6.361
2021-Q2,6.5026,6.5554,6.7251
2021-Q3,2.0163,2.1044,2.3038
2021-Q4,6.8881,6.9874,6.8946
2022-Q1,-1.4142,-1.5101,-1.574
2022-Q2,-0.9335,-0.5746,-0.5769
2022-Q3,2.5656,2.9288,3.2435
2022-Q4,2.891,2.6752,2.5735
2023-Q1,1.0626,1.2725,2.0027
2023-Q2,2.4137,2.0608,2.0617
2023-Q3,4.8777,5.154,4.8609
2023-Q4,3.28,3.209,3.3967
2024-Q1,1.5897,1.2492,1.4095
2024-Q2,2.8401,2.9514,2.9895
2024-Q3,2.8248,2.8336,3.073
2024-Q4,2.2512,2.3451,2.4495
2025-Q1,-0.275,-0.2427,-0.502
2025-Q2,2.9688,3.2909,3.8386
2026-Q1,1.9901,1.6227,2.0897
